iter	Passed	Remaining
856	2475	413
857	2478	410
858	2481	407
859	2484	404
860	2487	401
861	2489	398
862	2492	395
863	2495	392
864	2498	389
865	2501	387
866	2504	384
867	2507	381
868	2510	378
869	2513	375
870	2516	372
871	2519	369
872	2523	367
873	2526	364
874	2529	361
875	2531	358
876	2534	355
877	2537	352
878	2540	349
879	2543	346
880	2546	343
881	2549	341
882	2551	338
883	2554	335
884	2557	332
885	2560	329
886	2563	326
887	2566	323
888	2569	320
889	2572	317
890	2575	315
891	2578	312
892	2580	309
893	2583	306
894	2585	303
895	2588	300
896	2591	297
897	2594	294
898	2597	291
899	2600	288
900	2602	285
901	2605	283
902	2607	280
903	2610	277
904	2613	274
905	2615	271
906	2618	268
907	2620	265
908	2623	262
909	2626	259
910	2628	256
911	2631	253
912	2634	251
913	2636	248
914	2639	245
915	2642	242
916	2645	239
917	2648	236
918	2650	233
919	2653	230
920	2655	227
921	2658	224
922	2661	222
923	2663	219
924	2666	216
925	2669	213
926	2671	210
927	2674	207
928	2677	204
929	2680	201
930	2682	198
931	2685	195
932	2688	193
933	2691	190
934	2693	187
935	2696	184
936	2699	181
937	2702	178
938	2705	175
939	2707	172
940	2710	169
941	2712	167
942	2715	164
943	2718	161
944	2720	158
945	2723	155
946	2726	152
947	2728	149
948	2731	146
949	2734	143
950	2736	141
951	2739	138
952	2742	135
953	2745	132
954	2747	129
955	2750	126
956	2753	123
957	2756	120
958	2759	117
959	2762	115
960	2764	112
961	2767	109
962	2770	106
963	2773	103
964	2776	100
965	2778	97
966	2781	94
967	2783	92
968	2786	89
969	2789	86
970	2792	83
971	2795	80
972	2797	77
973	2800	74
974	2803	71
975	2805	68
976	2808	66
977	2811	63
978	2813	60
979	2816	57
980	2818	54
981	2821	51
982	2824	48
983	2826	45
984	2829	43
985	2831	40
986	2834	37
987	2837	34
988	2840	31
989	2842	28
990	2845	25
991	2848	22
992	2850	20
993	2853	17
994	2855	14
995	2858	11
996	2861	8
997	2864	5
998	2867	2
999	2869	0
